gene	sample	expression
ABCG1	s2	225.5918852597
ABCG1	s3	234.3165107355
ABCG1	s4	380.451771526
ABCG1	s5	471.3009357554
ABCG2	s1	350.6534195061
ABCG2	s2	383.6240491558
ABCG2	s3	193.5095749285
ABCG2	s4	303.9910721104
ABCG2	s5	191.8585315377
ABCG4	s1	338.318462485
ABCG4	s2	316.393985908
ABCG4	s3	209.900458951
ABCG4	s4	340.305072588
ABCG4	s5	235.137079293
ABCG5	s1	18.44968888232
ABCG5	s2	21.14618876575
ABCG5	s3	14.37849209751
ABCG5	s4	25.45736484687
ABCG5	s5	26.71968917568
ABHD10	s1	1055.95217921
ABHD10	s2	1071.446844351
ABHD10	s3	845.242807178
ABHD10	s4	998.083025842
ABHD10	s5	835.350779452
ABHD11	s1	520.491199034
ABHD11	s2	557.941203907
ABHD11	s3	382.451946202
ABHD11	s4	515.925979096
ABHD11	s5	416.842539266
ABHD14A	s1	756.835984132
ABHD14A	s2	748.733707816
ABHD14A	s3	433.593069993
ABHD14A	s4	553.571570089
ABHD14A	s5	351.114748936
ABHD2	s1	352.1499410266
ABHD2	s2	421.413715398
ABHD2	s3	609.4983155562
ABHD2	s4	586.432887127
ABHD2	s5	732.9449362438
ABHD3	s1	767.298653465
ABHD3	s2	638.903720162
ABHD3	s3	1063.145499597
ABHD3	s4	763.477839279
